"","numéro","n_spp","n_WE","n_WNE","n_HE","n_HNE","n_Med","n_edible","n_woody","dom_group","Concatenation","country","latitude","longitude","farm type","Intervention_reclass","exp_type","has_WNE","has_WE","has_HE"
"721","1775",2,0,1,1,0,0,1,1,"HE","WNE, HE","China","31°41'00,000N","103°53'00,000E","experimental site","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"722","1776",2,0,1,1,0,0,1,1,"HE","WNE, HE","China","31°41'00,000N","103°53'00,000E","experimental site","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"723","178",9,0,1,6,2,0,6,1,"HE","HNE, WNE, HE","USA","33°57'00,000N","83°19'00,000W","experimental site","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"724","1783",2,1,1,0,0,0,1,2,"WE","WNE, WE","Brazil","15°17'20,440S","39°03'39,440W","working farm","Alley cropping","WNE + WE",TRUE,TRUE,FALSE
"725","1784",2,1,1,0,0,0,1,2,"WE","WNE, WE","Brazil","15°17'20,440S","39°03'39,440W","working farm","Alley cropping","WNE + WE",TRUE,TRUE,FALSE
"726","1785",2,1,1,0,0,0,1,2,"WE","WNE, WE","Brazil","15°17'20,440S","39°03'39,440W","working farm","Alley cropping","WNE + WE",TRUE,TRUE,FALSE
"727","1786",2,1,1,0,0,0,1,2,"WE","WNE, WE","Brazil","15°17'20,440S","39°03'39,440W","working farm","Alley cropping","WNE + WE",TRUE,TRUE,FALSE
"728","1787",2,1,1,0,0,0,1,2,"WE","WNE, WE","Brazil","15°17'20,440S","39°03'39,440W","working farm","Alley cropping","WNE + WE",TRUE,TRUE,FALSE
"729","1788",2,1,1,0,0,0,1,2,"WE","WNE, WE","Brazil","15°17'20,440S","39°03'39,440W","working farm","Alley cropping","WNE + WE",TRUE,TRUE,FALSE
"730","1789",2,1,1,0,0,0,1,2,"WE","WNE, WE","Brazil","15°17'20,440S","39°03'39,440W","working farm","Alley cropping","WNE + WE",TRUE,TRUE,FALSE
"731","179",9,0,1,6,2,0,6,1,"HE","HNE, WNE, HE","USA","33°57'00,000N","83°19'00,000W","experimental site","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"732","1790",2,1,1,0,0,0,1,2,"WE","WNE, WE","Brazil","15°17'20,440S","39°03'39,440W","working farm","Alley cropping","WNE + WE",TRUE,TRUE,FALSE
