"","numéro","n_spp","n_WE","n_WNE","n_HE","n_HNE","n_Med","n_edible","n_woody","dom_group","Concatenation","country","latitude","longitude","farm type","Intervention_reclass","exp_type","has_WNE","has_WE","has_HE"
"905","1992",3,0,1,2,0,0,2,1,"HE","WNE, HE","France","43°43'00,000N","4°01'00,000E","experimental site","Fallows","WNE + HE",TRUE,FALSE,TRUE
"906","1994",2,2,0,0,0,1,2,2,"WE","WE","Ghana","6°00'00,000N","1°45'00,000W","experimental site","Alley cropping","Edible only",FALSE,TRUE,FALSE
"907","1995",2,2,0,0,0,1,2,2,"WE","WE","Ghana","6°00'00,000N","1°45'00,000W","experimental site","Alley cropping","Edible only",FALSE,TRUE,FALSE
"908","1996",2,2,0,0,0,1,2,2,"WE","WE","Ghana","6°00'00,000N","1°45'00,000W","experimental site","Alley cropping","Edible only",FALSE,TRUE,FALSE
"909","20",3,1,0,2,0,0,3,1,"HE","HE, WE","India","17°20'00,000N","78°36'00,000E","experimental site","Alley cropping","Edible only",FALSE,TRUE,TRUE
"910","2000",2,0,1,1,0,0,1,1,"HE","WNE, HE","Zimbabwe",NA,NA,"working farm","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"911","2001",2,0,1,1,0,0,1,1,"HE","WNE, HE","Zimbabwe",NA,NA,"working farm","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"912","2002",2,0,1,1,0,0,1,1,"HE","WNE, HE","Zimbabwe",NA,NA,"working farm","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"913","2003",3,2,0,1,0,0,3,2,"WE","HE, WE","Nigeria","4°51'00,000N","7°03'00,000E","experimental site","Alley cropping","Edible only",FALSE,TRUE,TRUE
"914","2004",3,1,1,1,0,0,2,2,"HE","WNE, HE, WE","Nigeria","4°51'00,000N","7°03'00,000E","experimental site","Alley cropping","Multi-type",TRUE,TRUE,TRUE
"915","2005",3,2,0,1,0,0,3,2,"WE","HE, WE","Nigeria","4°51'00,000N","7°03'00,000E","experimental site","Alley cropping","Edible only",FALSE,TRUE,TRUE
"916","2006",3,1,1,1,0,0,2,2,"HE","WNE, HE, WE","Nigeria","4°51'00,000N","7°03'00,000E","experimental site","Alley cropping","Multi-type",TRUE,TRUE,TRUE
"917","2007",3,2,0,1,0,0,3,2,"WE","HE, WE","Nigeria","4°51'00,000N","7°03'00,000E","experimental site","Alley cropping","Edible only",FALSE,TRUE,TRUE
"918","2008",3,1,1,1,0,0,2,2,"HE","WNE, HE, WE","Nigeria","4°51'00,000N","7°03'00,000E","experimental site","Alley cropping","Multi-type",TRUE,TRUE,TRUE
"919","2009",3,2,0,1,0,0,3,2,"WE","HE, WE","Nigeria","4°51'00,000N","7°03'00,000E","experimental site","Alley cropping","Edible only",FALSE,TRUE,TRUE
"920","2010",3,1,1,1,0,0,2,2,"HE","WNE, HE, WE","Nigeria","4°51'00,000N","7°03'00,000E","experimental site","Alley cropping","Multi-type",TRUE,TRUE,TRUE
"921","2011",2,0,1,1,0,0,1,1,"HE","WNE, HE","Brazil",NA,NA,"working farm","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"922","2012",2,0,1,1,0,0,1,1,"HE","WNE, HE","Brazil",NA,NA,"working farm","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"923","2013",2,0,1,1,0,0,1,1,"HE","WNE, HE","Brazil",NA,NA,"working farm","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"924","2014",2,0,1,1,0,0,1,1,"HE","WNE, HE","Brazil",NA,NA,"working farm","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"925","2015",2,0,1,1,0,0,1,1,"HE","WNE, HE","Brazil",NA,NA,"working farm","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"926","2016",2,0,1,1,0,0,1,1,"HE","WNE, HE","Brazil",NA,NA,"working farm","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"927","2017",2,0,1,1,0,0,1,1,"HE","WNE, HE","Brazil",NA,NA,"working farm","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"928","2018",2,0,1,1,0,0,1,1,"HE","WNE, HE","Brazil",NA,NA,"working farm","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"929","2019",2,1,0,1,0,0,2,1,"HE","HE, WE","Sri Lanka","8°02'00,000N","80°00'00,000E","experimental site","Alley cropping","Edible only",FALSE,TRUE,TRUE
"930","2020",2,1,1,0,0,0,1,2,"WE","WNE, WE","Sri Lanka","8°02'00,000N","80°00'00,000E","experimental site","Alley cropping","WNE + WE",TRUE,TRUE,FALSE
"931","2021",2,2,0,0,0,0,2,2,"WE","WE","Sri Lanka","8°02'00,000N","80°00'00,000E","experimental site","Alley cropping","Edible only",FALSE,TRUE,FALSE
"932","2022",2,2,0,0,0,0,2,2,"WE","WE","Sri Lanka","8°02'00,000N","80°00'00,000E","experimental site","Alley cropping","Edible only",FALSE,TRUE,FALSE
"933","2023",2,1,1,0,0,0,1,2,"WE","WNE, WE","Sri Lanka","8°02'00,000N","80°00'00,000E","experimental site","Alley cropping","WNE + WE",TRUE,TRUE,FALSE
"934","2024",2,1,1,0,0,0,1,2,"WE","WNE, WE","Sri Lanka","8°02'00,000N","80°00'00,000E","experimental site","Alley cropping","WNE + WE",TRUE,TRUE,FALSE
"935","2025",2,1,1,0,0,0,1,2,"WE","WNE, WE","Sri Lanka","8°02'00,000N","80°00'00,000E","experimental site","Alley cropping","WNE + WE",TRUE,TRUE,FALSE
"936","2026",2,1,1,0,0,0,1,2,"WE","WNE, WE","Sri Lanka","8°02'00,000N","80°00'00,000E","experimental site","Alley cropping","WNE + WE",TRUE,TRUE,FALSE
"937","2027",2,2,0,0,0,1,2,2,"WE","WE","Mexico","19°27'00,000N","96°57'00,000W","working farm","Alley cropping","Edible only",FALSE,TRUE,FALSE
"938","2028",2,2,0,0,0,1,2,2,"WE","WE","Mexico","19°27'00,000N","96°57'00,000W","working farm","Alley cropping","Edible only",FALSE,TRUE,FALSE
"939","2029",3,2,0,1,0,2,3,2,"WE","HE, WE","Mexico","19°27'00,000N","96°57'00,000W","working farm","Alley cropping","Edible only",FALSE,TRUE,TRUE
"940","203",2,1,0,0,1,0,1,1,"WE","HNE, WE","China","39°73'00,000N","116°33'00,000E","experimental site","Alley cropping","Edible only",FALSE,TRUE,FALSE
