id,source_id,intervention_by_complexity,intervention_by_richness,Number_Total,lat_map,lon_map,n_id_complexity,n_id_richness
214,8624,Very simple,2,2,47.220267,-119.964517,8,8
215,8879,Very simple,2,2,46.642368,2.194024,4,4
216,9101,Very simple,2,2,-20.910367,-47.112167,8,8
221,9492,Very simple,2,2,43.546944,-80.212222,2,2
222,9527,Very simple,2,2,43.717456,3.859986,4,4
223,9529,Very simple,2,2,30.850000,76.183333,7,7
224,9567,Very simple,2,2,23.586301,81.173004,5,5
226,1804,Very simple,2,2,9.895556,-83.668611,16,16
228,2480,Simple,2,2,7.541667,1.250000,1,1
229,3066,Very simple,2,2,-22.966667,-51.483333,7,7
230,110,Very simple,2,2,23.673729,90.432126,3,3
233,156,Very simple,2,2,18.000000,78.000000,48,48
234,161,Very simple,2,2,8.561330,-11.786567,6,6
236,396,Very simple,2,2,-6.833333,37.633333,18,18
237,405,Simple,2,2,23.586301,81.173004,1,1
238,508,Very simple,2,2,6.283333,-5.216667,12,12
239,515,Very simple,2,2,9.610294,8.147715,3,3
240,632,Very simple,2,2,-1.550000,37.133333,8,8
243,766,Very simple,2,2,8.033333,80.000000,4,4
244,769,Very simple,2,2,42.716667,12.033333,2,2
245,779,Very simple,2,2,13.516667,76.216667,8,8
248,990,Very simple,2,2,17.450000,78.466667,6,6
249,1092,Very simple,2,2,-1.550000,37.133333,2,2
251,1140,Very simple,2,2,7.945305,-1.219233,2,2
252,1160,Very simple,2,2,3.716667,34.850000,16,16
254,1225,Very simple,2,2,10.666667,78.400000,6,6
255,1339,Very simple,2,2,8.033333,124.900000,46,46
263,1795,Very simple,2,2,38.820809,-96.331617,9,9
264,1806,Very simple,2,2,7.696631,80.669312,12,12
265,1807,Very simple,2,2,7.696631,80.669312,12,12
266,1811,Very simple,2,2,7.716667,30.150000,12,12
268,1877,Very simple,2,2,6.750000,80.250000,6,6
269,1936,Very simple,2,2,19.250000,78.000000,7,7
270,1955,Very simple,2,2,7.696631,80.669312,36,36
274,2087,Very simple,2,2,-23.383333,-50.183333,1,1
279,2197,Very simple,2,2,7.400000,3.850000,4,4
280,2248,Very simple,2,2,30.783333,-87.216667,2,2
281,2304,Simple,2,2,6.200000,-2.483333,3,3
282,2353,Very simple,2,2,19.250000,78.000000,7,7
283,2400,Very simple,2,2,-22.708333,-47.633333,3,3
285,2498,Very simple,2,2,43.533333,-80.200000,1,1
286,2520,Very simple,2,2,-20.139167,-44.888056,4,4
287,2578,Very simple,2,2,37.833333,-93.833333,2,2
288,2609,Simple,2,2,22.966667,88.516667,1,7
289,2609,Very simple,2,2,22.966667,88.516667,6,7
292,2644,Simple,2,2,-1.501400,120.035500,1,1
293,2734,Very simple,2,2,37.833333,-93.833333,2,2
294,2752,Very simple,2,2,37.616667,-87.033333,1,1
295,2778,Very simple,2,2,-5.008333,38.666667,4,4
297,2781,Very simple,2,2,34.327361,107.632778,4,4
302,3084,Very simple,2,2,-35.697271,-64.532385,4,4
303,3110,Very simple,2,2,10.037778,-84.138056,1,1
305,3179,Simple,2,2,9.650000,-82.800000,1,1
308,3319,Very simple,2,2,17.688611,82.868056,4,4
309,3382,Very simple,2,2,25.650000,84.666667,6,6
311,3423,Very simple,2,2,31.066667,110.683333,6,6
312,3488,Very simple,2,2,36.116667,110.783333,2,2
313,3533,Very simple,2,2,28.250000,116.916667,4,4
314,3669,Very simple,2,2,29.109167,117.923333,6,6
316,3915,Very simple,2,2,73.616667,34.333333,6,6
317,3983,Very simple,2,2,22.558333,79.791667,5,5
320,4252,Simple,2,2,-2.014687,29.919440,11,11
321,4288,Very simple,2,2,73.616667,34.333333,6,6
322,4360,Very simple,2,2,36.116667,110.783333,2,2
323,4495,Very simple,2,2,73.616667,34.333333,2,2
325,4501,Very simple,2,2,8.905833,-78.333611,36,36
326,4520,Very simple,2,2,34.355833,107.728333,2,2
327,4542,Very simple,2,2,14.750000,-16.850000,4,4
329,4560,Very simple,2,2,31.066667,110.683333,6,6
335,5009,Very simple,2,2,31.683333,103.883333,3,3
